id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
5936688,2023-08-11T22:00:00,2023-08-11T15:00:00,0.313,2023-02-07T00:00:00,comedy,1,0.661,Excalibur Hotel and Casino,US,NV,0.63,761,35.0,123.0,119.0,145.0,120.0,theater,Mac King Comedy Magic Show,113,0.32,None,0,0.0,0
5992106,2023-08-11T22:00:00,2023-08-11T18:00:00,0.418,2023-04-07T00:00:00,family,1,0.708,Addition Financial Arena,US,FL,0.64,19,278.0,103.0,47.0,379.0,96.0,theater,Paw Patrol Live,142,0.39,None,0,0.0,0
6027644,2023-08-11T22:00:00,2023-08-11T18:00:00,0.377,2023-05-18T00:00:00,concert,2,0.686,Rebel,Canada,ON,0.56,16,23.0,122.0,50.0,205.0,117.0,concert,Ice Nine Kills,52,0.71,August Burns Red,24,0.4,0
5916347,2023-08-11T22:00:00,2023-08-11T18:00:00,0.529,2023-01-18T00:00:00,concert,3,0.761,Stage AE,US,PA,0.71,17,16.0,133.0,77.0,410.0,102.0,concert,Mastodon,19,0.5,Gojira,18,0.53,0
5997132,2023-08-11T22:00:00,2023-08-11T17:00:00,0.197,2023-04-16T00:00:00,auto_racing,1,0.611,Tulsa Raceway Park,US,OK,0.41,2,5.0,127.0,96.0,208.0,116.0,sports,Street Outlaws,10,0.27,None,0,0.0,0
5841163,2023-08-11T22:00:00,2023-08-11T18:00:00,0.339,2022-10-12T00:00:00,minor_league_baseball,2,0.663,Peoples Natural Gas Field,US,PA,0.46,16,26.0,30.0,19.0,52.0,27.0,sports,Altoona Curve,34,0.31,Erie SeaWolves,34,0.34,0
6045850,2023-08-11T22:00:00,2023-08-11T18:00:00,0.861,2023-06-05T00:00:00,concert,23,0.923,Yankee Stadium,US,NY,0.93,121,420.0,228.0,80.0,3400.0,150.0,concert,Hip Hop 50,2,0.72,Common,4,0.73,0
5951851,2023-08-11T22:00:00,2023-08-11T18:00:00,0.729,2023-02-21T00:00:00,concert,2,0.858,Hersheypark Stadium,US,PA,0.77,6,506.0,342.0,41.0,8915.0,219.0,concert,Guns N' Roses,26,0.64,Pretenders,17,0.61,0
5898193,2023-08-11T22:00:00,2023-08-11T18:00:00,0.411,2022-12-15T00:00:00,minor_league_baseball,2,0.698,Hadlock Field,US,ME,0.54,23,15.0,43.0,29.0,63.0,46.0,sports,Portland Sea Dogs,33,0.36,Hartford Yard Goats,33,0.44,0
5985659,2023-08-11T22:00:00,2023-08-11T17:00:00,0.316,2023-04-01T00:00:00,concert,2,0.655,Burton Cummings Theatre,Canada,MB,0.55,35,10.0,107.0,39.0,231.0,93.0,concert,Summer Block Party,3,0.27,The Strumbellas,1,0.37,0
5964766,2023-08-11T22:03:00,2023-08-11T18:03:00,0.427,2023-03-08T00:00:00,baseball,2,0.714,Thomas More Stadium,US,KY,0.45,12,9.0,35.0,20.0,51.0,34.0,sports,Florence Y'alls,22,0.38,Lake Erie Crushers,22,0.34,0
5974620,2023-08-11T22:10:00,2023-08-11T18:10:00,0.361,2023-03-21T00:00:00,minor_league_baseball,2,0.669,Clover Park,US,FL,0.62,18,7.0,42.0,36.0,50.0,43.0,sports,St. Lucie Mets,30,0.29,Palm Beach Cardinals,24,0.3,0
5978199,2023-08-11T22:30:00,2023-08-11T18:30:00,0.408,2023-03-23T00:00:00,baseball,1,0.705,Joseph L. Bruno Stadium,US,NY,0.45,12,7.0,41.0,35.0,49.0,41.0,sports,Tri-City ValleyCats,12,0.34,None,0,0.0,0
