id,date,local_date,score,announce_date,type,n_performers,popularity,venue,country,state,venue_score,venue_n_upcoming_events,listing_count,average_price,lowest_price,highest_price,median_price,segment,primary_performer,primary_performer_event_count,primary_performer_score,performer_2,performer_2_event_count,performer_2_score,sold_out
5891611,2023-08-04T22:30:00,2023-08-04T18:30:00,0.362,2022-12-07T00:00:00,minor_league_baseball,2,0.646,First National Bank Field,US,NC,0.47,17,23.0,36.0,24.0,51.0,34.0,sports,Greensboro Grasshoppers,35,0.33,Asheville Tourists,35,0.33,0
6069221,2023-08-04T22:30:00,2023-08-04T18:30:00,0.5,2023-06-23T00:00:00,concert,2,0.733,Rabbit Rabbit,US,NC,0.62,12,3.0,233.0,146.0,301.0,259.0,concert,Shakey Graves,49,0.57,Trampled by Turtles,8,0.53,0
6050238,2023-08-04T22:30:00,2023-08-04T18:30:00,0.324,2023-06-07T00:00:00,comedy,1,0.617,Off the Hook Comedy Club,US,Florida (fl),0.53,46,3.0,107.0,97.0,127.0,100.0,theater,T.J. Miller	,14,0.35,None,0,0.0,0
6064069,2023-08-04T22:30:00,2023-08-04T18:30:00,0.334,2023-06-20T00:00:00,concert,1,0.648,Salvage Station,US,NC,0.49,12,6.0,89.0,70.0,151.0,77.0,concert,Stephen Marley,11,0.43,None,0,0.0,0
6050023,2023-08-04T22:30:00,2023-08-04T16:30:00,0.0,2023-06-07T00:00:00,rodeo,1,0.0,Sandy Downs,US,ID,0.0,3,1.0,111.0,110.0,113.0,111.0,sports,War Bonnet Round Up,3,0.0,None,0,0.0,0
6049031,2023-08-04T22:30:00,2023-08-04T18:30:00,0.317,2023-06-07T00:00:00,concert,1,0.64,Bogarts,US,OH,0.58,41,30.0,75.0,25.0,143.0,81.0,concert,Alexandra Kay,2,0.31,None,0,0.0,0
5920324,2023-08-04T22:35:00,2023-08-04T18:35:00,0.364,2023-01-19T00:00:00,minor_league_baseball,2,0.642,Jackie Robinson Ballpark,US,FL,0.46,21,13.0,41.0,26.0,57.0,43.0,sports,Daytona Tortugas,37,0.3,St. Lucie Mets,37,0.3,0
5975521,2023-08-04T22:35:00,2023-08-04T18:35:00,0.334,2023-03-21T00:00:00,minor_league_baseball,1,0.63,Muncy Bank Ballpark at Historic Bowman Field,US,PA,0.4,13,9.0,43.0,24.0,55.0,46.0,sports,Williamsport Crosscutters,25,0.27,None,0,0.0,0
5839124,2023-08-04T22:35:00,2023-08-04T18:35:00,0.43,2022-10-11T00:00:00,minor_league_baseball,2,0.684,NBT Bank Stadium,US,NY,0.57,30,37.0,33.0,22.0,59.0,30.0,sports,Syracuse Mets,47,0.37,Worcester Red Sox,47,0.37,0
5808454,2023-08-04T22:35:00,2023-08-04T18:35:00,0.403,2022-09-14T00:00:00,minor_league_baseball,2,0.671,Harbor Park,US,VA,0.53,26,890.0,56.0,25.0,105.0,61.0,sports,Norfolk Tides,50,0.4,Charlotte Knights,47,0.44,0
5849954,2023-08-04T22:35:00,2023-08-04T18:35:00,0.368,2022-10-22T00:00:00,minor_league_baseball,2,0.647,PNC Field,US,PA,0.53,23,224.0,51.0,24.0,429.0,42.0,sports,Scranton Wilkes-Barre RailRiders,47,0.36,Rochester Red Wings,47,0.35,0
5934271,2023-08-04T22:35:00,2023-08-04T18:35:00,0.284,2023-02-04T00:00:00,minor_league_baseball,2,0.629,Hinchliffe Stadium,US,NJ,0.35,15,42.0,48.0,38.0,58.0,48.0,sports,New Jersey Jackals,19,0.3,Tri-City ValleyCats,17,0.36,0
5891317,2023-08-04T22:35:00,2023-08-04T18:35:00,0.374,2022-12-07T00:00:00,minor_league_baseball,2,0.655,LMCU Ballpark,US,MI,0.5,17,35.0,40.0,32.0,56.0,39.0,sports,West Michigan Whitecaps,29,0.34,Lake County Captains,41,0.35,0
5934542,2023-08-04T22:35:00,2023-08-04T18:35:00,0.378,2023-02-04T00:00:00,minor_league_baseball,2,0.628,Daniel S Frawley Stadium,US,DE,0.44,17,40.0,42.0,26.0,68.0,38.0,sports,Wilmington Blue Rocks,35,0.31,Hudson Valley Renegades,35,0.35,0
5977298,2023-08-04T22:35:00,2023-08-04T18:35:00,0.304,2023-03-23T00:00:00,minor_league_baseball,2,0.649,Regency Furniture Stadium,US,MD,0.43,24,8.0,39.0,28.0,42.0,42.0,sports,Southern Maryland Blue Crabs,37,0.35,Charleston Dirty Birds,20,0.3,0
5895615,2023-08-04T22:35:00,2023-08-04T18:35:00,0.346,2022-12-13T00:00:00,minor_league_baseball,2,0.641,UPMC Park,US,PA,0.46,23,17.0,37.0,26.0,56.0,37.0,sports,Erie SeaWolves,41,0.33,Harrisburg Senators,41,0.32,0
5983634,2023-08-04T22:35:00,2023-08-04T18:35:00,0.364,2023-03-30T00:00:00,minor_league_baseball,2,0.67,CaroMont Health Park,US,NC,0.46,27,9.0,40.0,29.0,59.0,33.0,sports,Gastonia Honey Hunters,37,0.32,Lexington Counter Clocks,39,0.29,0
5788848,2023-08-04T22:40:00,2023-08-04T18:40:00,0.802,2022-08-24T00:00:00,mlb,2,0.884,Great American Ball Park,US,OH,0.85,123,362.0,85.0,23.0,270.0,69.0,sports,Cincinnati Reds,229,0.64,Washington Nationals,216,0.64,0
5788858,2023-08-04T22:40:00,2023-08-04T18:40:00,0.735,2022-08-24T00:00:00,mlb,2,0.851,Comerica Park,US,MI,0.83,111,268.0,75.0,31.0,223.0,57.0,sports,Detroit Tigers,217,0.62,Tampa Bay Rays,228,0.64,0
5884873,2023-08-04T22:59:00,2023-08-04T03:30:00,0.0,2022-12-01T00:00:00,music_festival,1,0.0,Laketown Ranch Music and Recreation Park,Canada,BC,0.0,6,,,,,,concert,Sunfest Country Music Festival,6,0.0,None,0,0.0,1
5983225,2023-08-04T23:00:00,2023-08-04T19:00:00,0.305,2023-03-29T00:00:00,minor_league_baseball,1,0.639,Harry Grove Stadium,US,MD,0.47,31,13.0,42.0,27.0,62.0,42.0,sports,Frederick Keys,27,0.29,None,0,0.0,0
6052873,2023-08-04T23:00:00,2023-08-04T19:00:00,0.272,2023-06-12T00:00:00,theater,1,0.621,Caesars Atlantic City,US,NJ,0.55,193,10.0,233.0,150.0,305.0,244.0,theater,The Hook,187,0.27,None,0,0.0,0
6016761,2023-08-04T23:00:00,2023-08-04T19:00:00,0.418,2023-05-08T00:00:00,baseball,1,0.697,Clover Stadium,US,NY,0.49,18,222.0,27.0,21.0,53.0,29.0,sports,New York Boulders,18,0.37,None,0,0.0,0
6024441,2023-08-04T23:00:00,2023-08-04T19:00:00,0.274,2023-05-18T00:00:00,concert,1,0.616,Jimmys Jazz and Blues Club,US,NH,0.48,71,7.0,59.0,47.0,89.0,47.0,concert,Blues Beatles,2,0.22,None,0,0.0,0
6048625,2023-08-04T23:00:00,2023-08-04T19:00:00,0.385,2023-06-07T00:00:00,concert,1,0.675,Irving Plaza,US,NY,0.68,52,2.0,53.0,49.0,58.0,49.0,concert,Los Gemelos De Sinaloa,12,0.42,None,0,0.0,0
5977026,2023-08-04T23:00:00,2023-08-04T19:00:00,0.356,2023-03-23T00:00:00,theater,1,0.666,New World Stages / Stage 2,US,NY,0.55,109,54.0,344.0,50.0,622.0,366.0,theater,The Gazillion Bubble Show,109,0.35,None,0,0.0,0
6036465,2023-08-04T23:00:00,2023-08-04T19:00:00,0.431,2023-05-26T00:00:00,comedy,1,0.705,Northwest Arena,US,NY,0.45,2,4.0,130.0,102.0,204.0,120.0,theater,Taylor Tomlinson,42,0.52,None,0,0.0,0
5956915,2023-08-04T23:00:00,2023-08-04T19:00:00,0.56,2023-02-27T00:00:00,concert,2,0.763,PNC Pavilion,US,OH,0.62,6,207.0,177.0,85.0,2021.0,155.0,concert,Dwight Yoakam,10,0.64,The Mavericks,17,0.46,0
6052659,2023-08-04T23:00:00,2023-08-04T19:00:00,0.628,2023-06-10T00:00:00,concert,1,0.799,State Farm Arena,US,GA,0.86,42,531.0,221.0,81.0,1141.0,215.0,concert,MoneyBagg Yo,22,0.61,None,0,0.0,0
6015589,2023-08-04T23:00:00,2023-08-04T19:00:00,0.429,2023-05-05T00:00:00,soccer,2,0.703,Subaru Park,US,PA,0.74,13,2.0,38.0,29.0,47.0,29.0,sports,Philadelphia Union II,8,0.49,NYCFC II,7,0.38,0
